date,variant,pack.size,brand,supermarket,ilr_1,ilr_2
2021-01-16,flavoured,0 - 350 GR,other,supermarket-C,0.646578764021446,1.5052070294738547
2021-01-16,flavoured,0 - 350 GR,other,supermarket-A,-0.0008093529450978333,1.54852470112826
2021-01-16,flavoured,0 - 350 GR,other,supermarket-C,0.49025720560817476,1.448285754596249
2021-01-16,flavoured,0 - 350 GR,other,supermarket-D,0.5886159452519214,1.4717421804542803
2021-01-16,flavoured,0 - 350 GR,other,supermarket-A,0.28685088123932406,1.2499416752569643
2021-01-16,flavoured,0 - 350 GR,other,supermarket-B,0.2913911571328227,1.2525630047662708
2021-01-16,flavoured,0 - 350 GR,other,supermarket-D,0.31689935564178595,1.2672901700419632
2021-01-16,flavoured,0 - 350 GR,other,supermarket-C,0.45390460216521333,1.346390186002655
2021-01-16,flavoured,0 - 350 GR,other,supermarket-C,0.5412675019571248,1.5487810547386038
2021-01-16,flavoured,0 - 350 GR,other,supermarket-B,0.39378255809957646,1.1705531419558197
2021-01-16,flavoured,0 - 350 GR,other,supermarket-B,0.7528641821294729,1.3035908683846367
2021-01-16,flavoured,0 - 350 GR,other,supermarket-C,0.776836199212093,1.3174311189003058
2021-01-16,flavoured,0 - 350 GR,other,supermarket-B,0.9802581434685476,1.7311879279731046
2021-01-16,flavoured,0 - 350 GR,brand-15,supermarket-A,0.25305313867516827,1.2350001244817899
2021-01-16,flavoured,0 - 350 GR,brand-15,supermarket-B,0.4900957105594344,1.4148614964339477
2021-01-16,flavoured,0 - 350 GR,brand-15,supermarket-C,0.49023588979186294,1.4149424289515244
2021-01-16,flavoured,0 - 350 GR,other,supermarket-D,0.8090239368584703,1.9382617330572323
2021-01-23,flavoured,0 - 350 GR,brand-35,supermarket-A,-0.13134883316021745,1.0480365526223747
2021-01-23,flavoured,0 - 350 GR,brand-35,supermarket-D,-0.025288660041917644,1.1637687550782199
2021-01-23,flavoured,0 - 350 GR,brand-35,supermarket-C,-0.15927424838973253,1.04673675257216
2021-01-23,flavoured,0 - 350 GR,brand-14,supermarket-A,-0.10717031498568311,1.7125002112057746
2021-01-23,flavoured,0 - 350 GR,brand-14,supermarket-B,0.21600222152225437,1.360989057521493
2021-01-23,flavoured,0 - 350 GR,brand-14,supermarket-D,0.4525635056154375,1.4975677785725359
2021-01-23,flavoured,0 - 350 GR,brand-14,supermarket-C,0.453100886735283,1.5021185479222665
2021-01-23,flavoured,0 - 350 GR,other,supermarket-A,0.28211715752973704,1.2947850228565831
2021-01-23,flavoured,0 - 350 GR,other,supermarket-D,0.03474690368265486,1.151965740208464
2021-01-23,flavoured,0 - 350 GR,other,supermarket-A,0.28383187084795336,1.2957750130524384
2021-01-23,flavoured,0 - 350 GR,other,supermarket-D,0.48538602355703586,1.4121423573753134
2021-01-23,flavoured,0 - 350 GR,other,supermarket-A,0.4043719439729107,1.514431909316542
2021-01-23,flavoured,0 - 350 GR,other,supermarket-D,0.50144513931869,1.6242819425431323
2021-01-23,flavoured,0 - 350 GR,other,supermarket-D,0.5187663022654824,1.338881986199058
2021-01-23,flavoured,0 - 350 GR,other,supermarket-A,0.4339417009416064,1.5646369105691407
2021-01-23,flavoured,0 - 350 GR,other,supermarket-B,-0.5646302068252339,0.9881111508147571
2021-01-23,flavoured,0 - 350 GR,other,supermarket-D,0.4538592354434388,1.5761363044753671
2021-01-23,flavoured,0 - 350 GR,other,supermarket-D,0.26920752886863514,1.180347517014228
2021-01-23,flavoured,0 - 350 GR,other,supermarket-D,0.7283764192172999,1.820655375223781
2021-01-23,flavoured,0 - 350 GR,other,supermarket-C,0.6405205600225033,1.5017093237642587
2021-01-23,flavoured,0 - 350 GR,other,supermarket-A,1.5290156711856987e-16,1.548991981268981
2021-01-23,flavoured,0 - 350 GR,other,supermarket-C,0.5691303780184197,1.4938232019191438
2021-01-23,flavoured,0 - 350 GR,other,supermarket-D,0.5889832365867177,1.4719542362052958
2021-01-23,flavoured,0 - 350 GR,other,supermarket-A,0.3275827707187499,1.2734582426125127
2021-01-23,flavoured,0 - 350 GR,other,supermarket-B,0.29142987764179895,1.2525853600625514
2021-01-23,flavoured,0 - 350 GR,other,supermarket-D,0.3017488166901915,1.2585430022998922
2021-01-23,flavoured,0 - 350 GR,other,supermarket-C,0.4537965250444273,1.3463277876478759
2021-01-23,flavoured,0 - 350 GR,other,supermarket-C,0.5387231175980931,1.5473120537439948
2021-01-23,flavoured,0 - 350 GR,other,supermarket-B,0.5033312964613271,1.2338011355383596
2021-01-23,flavoured,0 - 350 GR,other,supermarket-B,0.752864182129473,1.3035908683846367
2021-01-23,flavoured,0 - 350 GR,other,supermarket-C,0.7714046162335286,1.3142951930055058
2021-01-23,flavoured,0 - 350 GR,other,supermarket-B,0.9802581434685476,1.7311879279731046
2021-01-23,flavoured,0 - 350 GR,brand-15,supermarket-A,0.2673251993540593,1.2483226640644696
2021-01-23,flavoured,0 - 350 GR,brand-15,supermarket-B,0.48966218047849525,1.4146111977250158
2021-01-23,flavoured,0 - 350 GR,brand-15,supermarket-C,0.2223042517568621,1.2602520256075993
2021-01-23,flavoured,0 - 350 GR,other,supermarket-D,0.8351176037301378,1.9533269186497333
2021-01-30,flavoured,0 - 350 GR,brand-35,supermarket-A,-0.13236179744081047,1.0475315009082486
2021-01-30,flavoured,0 - 350 GR,brand-35,supermarket-D,-0.02476050411790801,1.1668073966061296
2021-01-30,flavoured,0 - 350 GR,brand-35,supermarket-C,-0.02655352251030793,1.1702158757558399
2021-01-30,flavoured,0 - 350 GR,brand-14,supermarket-A,-0.16244233545760678,1.8618849587927169
2021-01-30,flavoured,0 - 350 GR,brand-14,supermarket-B,0.19703121105597074,1.3500361395219842
2021-01-30,flavoured,0 - 350 GR,brand-14,supermarket-D,0.4583871982542122,1.5009300890852093
2021-01-30,flavoured,0 - 350 GR,brand-14,supermarket-C,0.4503751703253454,1.5001885414989375
2021-01-30,flavoured,0 - 350 GR,other,supermarket-A,0.28505969242253754,1.2964838961690412
2021-01-30,flavoured,0 - 350 GR,other,supermarket-D,0.03696342689162821,1.15324545047983
